식물명,생육형그룹,적정 광량(lux),광보상점(lux),광포화점(lux),사유
디펜바키아,관엽식물,"5,000-15,000","500-2,000",10000,적정 광량 상한 > 광포화점 상한 (전체 벗어남)
멕시코돌나물,다육·선인장류,"15,000-40,000","500-2,000",10000,적정 광량 상한 > 광포화점 상한 (전체 벗어남)
문샤인산세베리아,목본류,"5,000-15,000","500-2,000",10000,적정 광량 상한 > 광포화점 상한 (전체 벗어남)
줄리아페페,관엽식물,"10,000-20,000","500-2,000",10000,적정 광량 상한 > 광포화점 상한 (전체 벗어남)
프리지아,초본 화훼류,"30,000-50,000","1,000-3,000",20000-30000,적정 광량 상한 > 광포화점 상한 (전체 벗어남)
아펠란드라,관엽식물,"10,000-20,000","500-2,000",10000,적정 광량 상한 > 광포화점 상한 (전체 벗어남)
부용화,목본류,"20,000-40,000","1,000-3,000",20000-30000,적정 광량 상한 > 광포화점 상한 (전체 벗어남)
아단소니몬스테라,관엽식물,"5,000-15,000","500-2,000",10000,적정 광량 상한 > 광포화점 상한 (전체 벗어남)
개운죽,관엽식물,"300-10,000","500-2,000",10000,적정 광량 하한 < 광보상점 하한 (전체 벗어남)
긴기아난,초본 화훼류,"20,000-40,000","500-2,000",10000,적정 광량 상한 > 광포화점 상한 (전체 벗어남)
마지나타,관엽식물,"2,200-32,000","500-2,000",10000,적정 광량 상한 > 광포화점 상한 (전체 벗어남)
제라늄,초본 화훼류,"30,000-70,000","1,000-3,000",20000-30000,적정 광량 상한 > 광포화점 상한 (전체 벗어남)
청페페,다육·선인장류,"10,000-25,000","500-2,000",10000,적정 광량 상한 > 광포화점 상한 (전체 벗어남)
카틀레아,관엽식물,"21,500-37,700","500-2,000",10000,적정 광량 상한 > 광포화점 상한 (전체 벗어남)
칼란디바,관엽식물,"10,000-25,000","500-2,000",10000,적정 광량 상한 > 광포화점 상한 (전체 벗어남)
콜레우스,관엽식물,"10,000-25,000","500-2,000",10000,적정 광량 상한 > 광포화점 상한 (전체 벗어남)
아글라오네마,관엽식물,"300-10,000","500-2,000",10000,적정 광량 하한 < 광보상점 하한 (전체 벗어남)
덴드로비움,초본 화훼류,"20,000-35,000","500-2,000",10000-20000,적정 광량 상한 > 광포화점 상한 (전체 벗어남)
소철,관엽식물,"800-10,000","1,000-3,000",20000-30000,적정 광량 하한 < 광보상점 하한 (전체 벗어남)
벤자민고무나무,관엽식물,"16,000-38,000","500-2,000",10000,적정 광량 상한 > 광포화점 상한 (전체 벗어남)
용설란,다육·선인장류,"10,000-15,000","500-2,000",10000,적정 광량 상한 > 광포화점 상한 (전체 벗어남)
팔손이,목본류,"800-10,000","1,000-3,000",20000-30000,적정 광량 하한 < 광보상점 하한 (전체 벗어남)
칼라,관엽식물,"20,000-50,000","500-2,000",10000,적정 광량 상한 > 광포화점 상한 (전체 벗어남)
드라코,초본 화훼류,"800-10,000","1,000-3,000",20000-30000,적정 광량 하한 < 광보상점 하한 (전체 벗어남)
공작선인장,관엽식물,"10,000-20,000","500-2,000",10000,적정 광량 상한 > 광포화점 상한 (전체 벗어남)
쿠페아,초본 화훼류,"10,000-20,000","500-2,000",10000,적정 광량 상한 > 광포화점 상한 (전체 벗어남)
헬리코니아,초본 화훼류,"10,000-40,000","500-2,000",10000,적정 광량 상한 > 광포화점 상한 (전체 벗어남)
막실라리아,초본 화훼류,"15,000-30,000","500-2,000",10000,적정 광량 상한 > 광포화점 상한 (전체 벗어남)
산취선인장,다육·선인장류,"20,000-50,000","500-2,000",10000,적정 광량 상한 > 광포화점 상한 (전체 벗어남)
부채선인장,다육·선인장류,"30,000-60,000","500-2,000",10000,적정 광량 상한 > 광포화점 상한 (전체 벗어남)
삭소롬,초본 화훼류,"5,000-15,000","500-2,000",10000,적정 광량 상한 > 광포화점 상한 (전체 벗어남)
아비스고사리,관엽식물,"800-1,500","1,000-3,000",20000-30000,적정 광량 하한 < 광보상점 하한 (전체 벗어남)
구슬세덤,다육·선인장류,"20,000-60,000","1,000-3,000",20000-50000,적정 광량 상한 > 광포화점 상한 (전체 벗어남)
꼬리조팝나무,목본류,"15,000-30,000","1,000-3,000",20000-50000,적정 광량 상한 > 광포화점 하한 (일부 벗어남)
패랭이,초본 화훼류,"20,000-50,000","1,000-3,000",20000-50000,적정 광량 상한 > 광포화점 하한 (일부 벗어남)
드라세나'송오브인디아',관엽식물,"1,500-10,000","500-2,000",10000,적정 광량 하한 < 광보상점 상한 (일부 벗어남)
둥근잎꿩의비름,다육·선인장류,"15,000-30,000","1,000-3,000",20000-50000,적정 광량 상한 > 광포화점 하한 (일부 벗어남)
몬스테라,관엽식물,"1,500-3,000","500-2,000",10000,적정 광량 하한 < 광보상점 상한 (일부 벗어남)
마조람,초본 화훼류,"20,000-40,000","1,000-3,000",20000-50000,적정 광량 상한 > 광포화점 하한 (일부 벗어남)
망종화,목본류,"20,000-40,000","1,000-3,000",20000-50000,적정 광량 상한 > 광포화점 하한 (일부 벗어남)
황매화,목본류,"15,000-30,000","1,000-3,000",20000-50000,적정 광량 상한 > 광포화점 하한 (일부 벗어남)
금영화,초본 화훼류,"30,000-50,000","1,000-3,000",20000-50000,적정 광량 상한 > 광포화점 하한 (일부 벗어남)
매발톱,초본 화훼류,"15,000-30,000","1,000-3,000",20000-50000,적정 광량 상한 > 광포화점 하한 (일부 벗어남)
원추천인국,초본 화훼류,"30,000-50,000","1,000-3,000",20000-50000,적정 광량 상한 > 광포화점 하한 (일부 벗어남)
오색마삭줄,목본류,"10,000-25,000","1,000-3,000",20000-30000,적정 광량 상한 > 광포화점 하한 (일부 벗어남)
